,,,,,,,
,TRIED,Name,Cuisine,Description,Location,Price,Yelp
,TRUE,Porto's Bakery,Bakery,Cheese Rolls,Los Angeles,$,https://www.yelp.com/biz/portos-bakery-and-cafe-glendale?osq=portos
,FALSE,Blu Jam Cafe,Brunch,French Toast,Los Angeles,$$,https://www.yelp.com/biz/blu-jam-cafe-los-angeles-4
,TRUE,Millet Crepes,Dessert,Crepes,Los Angeles,$,https://www.yelp.com/biz/millet-crepe-los-angeles
,TRUE,Magnolia,Dessert,Banana Bread Pudding,Los Angeles,$,https://www.yelp.com/biz/magnolia-bakery-los-angeles-los-angeles
,TRUE,Sprinkles Cupcake,Dessert,Cupcakes,Los Angeles,$,https://www.yelp.com/biz/sprinkles-the-grove-los-angeles?osq=Sprinkles+Cupcakes
,TRUE,Go Greek Yogurt,Dessert,Greek Yogurt,Los Angeles,$,https://www.yelp.com/biz/go-greek-yogurt-beverly-hills?osq=Go+Greek+Yogurt
,TRUE,Salt & Straw,Dessert,Ice Cream,Los Angeles,$,https://www.yelp.com/biz/salt-and-straw-los-angeles-9
,TRUE,Borneo,Indonesian,Indo Noodle,Los Angeles,$$,https://www.yelp.com/biz/borneo-kalimantan-cuisine-alhambra-2
,TRUE,Medan Kitchen,Indonesian,Medanese Food,Los Angeles,$$,https://www.yelp.com/biz/medan-kitchen-rosemead-2
,FALSE,Uovo,Italian,Pasta,Los Angeles,$$,https://www.yelp.com/biz/uovo-pasadena-pasadena
,FALSE,Sparrow,Italian,Pasta,Los Angeles,$$$,https://www.yelp.com/biz/sparrow-italia-los-angeles
,FALSE,Fritto Misto,Italian,Pasta,Los Angeles,$$$,https://www.yelp.com/biz/fritto-misto-santa-monica-2
,FALSE,Pomodoro Trattoria,Itallian,Pasta,Los Angeles,$$,https://www.yelp.com/biz/pomodoro-trattoria-los-angeles-2
,TRUE,Tsujita LA,Japanese,Tsukemen,Los Angeles,$$,https://www.yelp.com/biz/tsujita-la-artisan-noodle-los-angeles-2
,TRUE,Tatsu Ramen,Japanese,Naked Ramen,Los Angeles,$$,https://www.yelp.com/biz/tatsu-ramen-los-angeles-4
,TRUE,Kazunori Handroll,Japanese,Sushi Handroll,Los Angeles,$$$,https://www.yelp.com/biz/kazunori-dtla-los-angeles
,TRUE,Marugame Monzo,Japanese,Udon,Los Angeles,$$,https://www.yelp.com/biz/marugame-monzo-los-angeles-5
