,,,,,,,
,TRIED,Name,Cuisine,Description,Location,Price,Yelp
,TRUE,Joe's Shanghai,Chinese,Xiao Long Bao,"Chinatown, NY",$$,https://www.yelp.com/biz/joes-shanghai-new-york-2
,TRUE,Levain Bakery,Dessert,Cookies,"Downtown, NY",$$,https://www.yelp.com/biz/levain-bakery-new-york?osq=Levain+Bakery
,TRUE,Wah Fung,Chinese,"Siobak, Roasted Duck","Chinatown, NY",$,https://www.yelp.com/biz/wah-fung-no-1-fast-food-new-york-3?osq=Wah+Fung
,TRUE,Halal Guys,Mediterranian,Gyro Platter,"Downtown, NY",$,https://www.yelp.com/biz/the-halal-guys-new-york-2?osq=Halal+Guys
,TRUE,Joe's Pizza,Italian,Pizza,"Time Square, NY",$,https://www.yelp.com/biz/joes-pizza-new-york-4?osq=Joe%27s+Pizza
,TRUE,Grimaldi's Pizzeria,Italian,Pizza,"Brooklyn, NY",$$,https://www.yelp.com/biz/grimaldis-new-york-4
,TRUE,Ichiran,Japanese,Ramen,"Time Square, NY",$$,https://www.yelp.com/biz/ichiran-midtown-new-york?osq=ichiran
,TRUE,Katz's Delicatessen,Western,Roast Beef Sandwich,"Chinatown, NY",$$,https://www.yelp.com/biz/katzs-delicatessen-new-york
,TRUE,Peter Luger,Western,Steakhouse,"Brooklyn, NY",$$$$,https://www.yelp.com/biz/peter-luger-brooklyn-2
,TRUE,Chelsea Market,Western,Seafood Market,"Chelsea, NY",$$,https://www.yelp.com/biz/chelsea-market-new-york
,TRUE,Cote,Korean,Michelin Star Steakhouse,"Downtown, NY",$$$$,yelp.com/biz/cote-new-york-6?osq=cote
,TRUE,Nubiani,Korean,KBBQ,"Koreatown, NY",$$$$,https://www.yelp.com/biz/nubiani-new-york
