,,,,,,,
,TRIED,Name,Cuisine,Description,Price,Location,Yelp
,TRUE,Kin Len Thai,Thai,"Butter Chicken Curry, Roti Tawar",$,Fremont,
,FALSE,Aroy Mak,Thai,"Gai Tod, Fried Chicken, Bakwan Jagung",$$,Shoreline,
,FALSE,Maonos,Korean-Hawaiian,"Chicken Sandwich, Fried Chicken",$,"University Village, Downtown",
,TRUE,Babar,Vietnamese,Spicy Pork Belly,$$$,"University Village, Capitol Hill",
,FALSE,Hiroshi Poke,Hawaiian,Poke,$$,University District,
,TRUE,FOB Poke,Hawaiian,Poke,$$,"Downtown, Bellevue",
,TRUE,FOB Sushi,Japanese,Sushi Kiloan,$$,Downtown,
,FALSE,Briley's,american,"ribs, bbq, catfish and hush pusphie",$$,Lake Forest Park,
,FALSE,Ishonie,Japanese,bbq,$$$,Capitol Hill,
,FALSE,Chengdu Memory ,chinese,chinese hot-pot ,$$,Chinatown,
,TRUE,Thai Tom,Thai ,Pad Thai  - Cash Only ,$,University District,
,FALSE,Noodle Nation,Thai,"Kew tiau, Boat noodle (black)",$$,Mountlake Terrace,
,TRUE,Bangkrak,Thai,,$$,Downtown,
,FALSE,Mike's Noodle House,Chinese,Wonton Noodle Soup - Cash only,$$,Chinatown,
,FALSE,Wonton Noodle House,Chinese,Wonton Noodle Soup,$$,Edmonds,
,TRUE,Piroshky Piroshky,Russian,Salmon bread,$,Downtown,
,TRUE,Pike place chowder,,Clam ,$$,Downtown,
,FALSE,Molly Moons,Dessert,Honey lavendar,$,University Village,
,FALSE,Di Fiora,Italian,Brunch,$$,Capitol Hill,
,FALSE,Kedai Makan,Malaysian,,$$,Capitol Hill,
,FALSE,Due cucina,Italian,,$$,"Capitol Hill, Green Lake",
,TRUE,Ramen Danbo,Japanese,,$$,Capitol Hill,
,FALSE,Menya Musashi,Japanese,Tsukemen,$$,Capitol Hill,
,TRUE,Musashi,Japanese,Chirashi,$$,Green Lake,
,FALSE,Chaiyo,Thai,"Fried rice, garlic fried chicken",$$,Northgate,
,TRUE,Dick's,American,Burger,$,"Lake city, Bellevue, Downtown",
,FALSE,Hot cakes,Dessert,,,Bellard,
,FALSE,Snowy Village,Dessert,,,University District,
,FALSE,Fern Thai,Thai,,,Bellevue,
,FALSE,Pho Bac,Vietnamese,,,Downtown,
,TRUE,Rondo,Japanese,,,Capitol Hill,
,TRUE,Jade Garden,Chinese,,,Chinatown,
,FALSE,HK Dimsum,Chinese,,,Shoreline,
,FALSE,Hong Kong Bistro,Chinese,,,Chinatown,
,FALSE,Sweet Alchemy,Ice Cream,Thai Tea Ice Cream,,,
,FALSE,Rice n Spice,Thai/Indo,,,Bellevue,
,FALSE,Retreat,Brunch,,,Green Lake,
,FALSE,Kitanda,Brazilian,,,,
,FALSE,Rain Cafe,Chinese,,,Shoreline,
,FALSE,Skalka,Brunch,,,Downtown,
,FALSE,Charlotte,Brunch,,$$$$,,
,FALSE,Ascend,Fine Dine,,$$$$$$$$$$,Bellevue,
,FALSE,Canlist,Fine Dine,,,,
,FALSE,TnT Seafood Resto,Chinese,,,Edmonds,
,FALSE,Kobuta Ookami,Japanese,Katsu,,Capitol Hill,
,FALSE,Peony Kitchen,Chinese,,$$$,Bellevue,
,TRUE,Aroom,Cafe,,,Fremont,
,FALSE,Isan Thai,Thai,,,Lynnwood,
,FALSE,663 Bistro,Chinese,,,,
,FALSE,Lotus Pond,Vietnamese,,,Shoreline,
,FALSE,Don't yell at me,Boba,,,University District,
,FALSE,Seattle Best Tea,Boba,,,Chinatown,
,FALSE,Bakery Noveau,Pastry,,,,
,TRUE,Coffeeholic,Cafe,"Ube latte, ",,"Downtown, Bellevue, Northgate",
,FALSE,Nana's Green Tea,Dessert,,,"Bellevue, Downtown",
,TRUE,Tendon Kohaku,Japanese,Tempura,,Bellevue,
,FALSE,JangAn Sulluntang,Korean,Sulluntang,,Lynnwood,
,FALSE,Modoo,Korean,,,Lynnwood,
,FALSE,Sam Oh Jung,Korean,,,Lynnwood,
,TRUE,Dolar Shop,Chinese,Hotpot,$$$,Bellevue,
